"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lyz1",0,-0.641704819870488,0.047,0.116,0,"0","Lyz1"
"Rps27a",0,-0.652757681446005,0.295,0.5,0,"0","Rps27a"
"Uba52",0,-0.672178537488577,0.013,0.207,0,"0","Uba52"
"Junb",0,-0.67620029086413,0.044,0.339,0,"0","Junb"
"Rpl18a",0,-0.725744388232569,0.284,0.514,0,"0","Rpl18a"
"Rps14",0,-0.740407150864052,0.346,0.603,0,"0","Rps14"
"Rpl32",0,-0.753910986387223,0.197,0.461,0,"0","Rpl32"
"mt-Cytb",0,-0.760345669543667,0.432,0.528,0,"0","mt-Cytb"
"Fth1",0,-0.764687772612204,0.494,0.59,0,"0","Fth1"
"Fau",0,-0.771972536734439,0.365,0.549,0,"0","Fau"
"Actb",0,-0.77650450626591,0.679,0.723,0,"0","Actb"
"Tmsb10",0,-0.845933380187703,0.122,0.324,0,"0","Tmsb10"
"Ccl5",0,-0.878910777512977,0.019,0.102,0,"0","Ccl5"
"Tmsb4x",0,-1.21692955162935,0.821,0.823,0,"0","Tmsb4x"
"H2-Eb1",1.83820741865738e-269,-0.357204379225846,0.105,0.171,5.74789077739977e-265,"0","H2-Eb1"
"Ftl1",8.40392857166604e-237,-0.713995370129786,0.381,0.415,2.62782442507426e-232,"0","Ftl1"
"H2-Aa",1.1932646568696e-199,-0.395076450636949,0.158,0.214,3.73121925556554e-195,"0","H2-Aa"
"mt-Co1",2.23836170242517e-181,-0.37927657333455,0.829,0.605,6.99913320731325e-177,"0","mt-Co1"
"Apoe",1.9486369911069e-157,-0.373599578349655,0.148,0.197,6.09319300749216e-153,"0","Apoe"
"mt-Co3",7.29121993280816e-142,-0.590375834986995,0.862,0.564,2.27989156078978e-137,"0","mt-Co3"
"Cd74",9.28732242079614e-53,-0.824009209596284,0.431,0.408,2.90405284775875e-48,"0","Cd74"
"mt-Atp6",7.10509340393225e-50,-0.65023651681569,0.77,0.532,2.22169165647558e-45,"0","mt-Atp6"
"Ighm",2.75108652899235e-49,-0.410696653749222,0.109,0.133,8.60237246750617e-45,"0","Ighm"
"Adgrl3",4.70447884044376e-25,-0.372472662255466,0.245,0.245,1.47104348861836e-20,"0","Adgrl3"
"S100a8",1.96026029132434e-24,-0.990774274580755,0.088,0.101,6.12953790494207e-20,"0","S100a8"
"Cldn5",3.44543950234537e-21,-0.282882187149236,0.151,0.163,1.07735447798837e-16,"0","Cldn5"
"Lyz2",1.44821523241728e-09,-1.1313087707684,0.592,0.454,4.52842421024558e-05,"0","Lyz2"
"Chil3",8.60148499585228e-06,-0.414743428461552,0.107,0.108,0.268959834335305,"0","Chil3"
"Calcrl",2.50705482517043e-05,-0.265027403363113,0.345,0.293,0.783930973282543,"0","Calcrl"
"Calcrl.1",0,1.52383105757602,0.865,0.25,0,"1","Calcrl"
"Adgrl3.1",0,1.51421378730001,0.588,0.212,0,"1","Adgrl3"
"Cldn5.1",0,1.29339764752943,0.516,0.127,0,"1","Cldn5"
"Ptprb",0,1.27207226869022,0.828,0.177,0,"1","Ptprb"
"Hpgd",0,1.24096863286685,0.672,0.128,0,"1","Hpgd"
"Tspan7",0,1.18203342061334,0.752,0.154,0,"1","Tspan7"
"Epas1",0,1.13806433511601,0.852,0.273,0,"1","Epas1"
"Sema3c",0,1.12283214376869,0.64,0.163,0,"1","Sema3c"
"Ldb2",0,1.11749267949982,0.671,0.148,0,"1","Ldb2"
"Tmem100",0,1.08047696499351,0.593,0.106,0,"1","Tmem100"
"Cyyr1",0,1.03267941553842,0.653,0.151,0,"1","Cyyr1"
"Arl15",0,1.01149944968656,0.602,0.201,0,"1","Arl15"
"Ramp2",0,0.991677972372646,0.46,0.081,0,"1","Ramp2"
"Pde3a",0,0.979574352478849,0.586,0.129,0,"1","Pde3a"
"Ly6a.1",0,0.956113809245176,0.463,0.123,0,"1","Ly6a"
"Bmpr2",0,0.943002814173246,0.679,0.214,0,"1","Bmpr2"
"Bmp6",0,0.914915177149475,0.498,0.099,0,"1","Bmp6"
"Ptprm",0,0.907431353940265,0.649,0.25,0,"1","Ptprm"
"Ptprg",0,0.855595468093287,0.593,0.173,0,"1","Ptprg"
"Egfl7",0,0.842252155328044,0.576,0.108,0,"1","Egfl7"
"Hmcn1",0,0.836807953618183,0.557,0.14,0,"1","Hmcn1"
"Plcb1",0,0.822367646581599,0.509,0.196,0,"1","Plcb1"
"Nckap5",0,0.815834578345575,0.662,0.363,0,"1","Nckap5"
"Aqp1",0,0.800799846076029,0.451,0.107,0,"1","Aqp1"
"Ehd4",0,0.797794644741638,0.626,0.139,0,"1","Ehd4"
"Pecam1",0,0.796561943041275,0.647,0.134,0,"1","Pecam1"
"Cd36",0,0.778333505667255,0.712,0.29,0,"1","Cd36"
"Pitpnc1.1",0,0.754154677825249,0.639,0.193,0,"1","Pitpnc1"
"Tm4sf1",0,0.748693745360409,0.436,0.104,0,"1","Tm4sf1"
"Cd93",0,0.744011239621444,0.491,0.084,0,"1","Cd93"
"Adgrl4",0,0.742603175972054,0.494,0.091,0,"1","Adgrl4"
"Cav1",0,0.742053508663787,0.623,0.163,0,"1","Cav1"
"Flt1",0,0.734542556020807,0.554,0.115,0,"1","Flt1"
"Cdh5",0,0.71856949020201,0.541,0.115,0,"1","Cdh5"
"Smad6",0,0.715801322337461,0.462,0.069,0,"1","Smad6"
"Ctla2a",0,0.715100295199851,0.387,0.091,0,"1","Ctla2a"
