"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HLA-DMA.10",1.41621953636764e-113,-0.411722868291413,0.057,0.284,5.12558174602176e-109,"17","HLA-DMA"
"PLP2.1",1.39403417296129e-112,0.281342963346739,0.375,0.182,5.04528847878149e-108,"17","PLP2"
"HLA-DQA1.16",2.03129665660597e-112,-0.634570742407337,0.01,0.219,7.35166885958832e-108,"17","HLA-DQA1"
"HLA-DQB1.14",4.14780340757265e-112,-0.622291531695312,0.06,0.283,1.50117300926869e-107,"17","HLA-DQB1"
"BTF3.9",1.4151532982341e-111,-0.412424957029449,0.424,0.651,5.12172281696886e-107,"17","BTF3"
"RAD21",1.60011653126208e-111,0.256424957944514,0.334,0.155,5.79114174994371e-107,"17","RAD21"
"TSPAN1.15",8.37504633650581e-111,-0.983413575459681,0.091,0.308,3.03109677010818e-106,"17","TSPAN1"
"SGK1.10",9.46278596945783e-111,-0.472353826024153,0.023,0.236,3.42477149806618e-106,"17","SGK1"
"RPL7A.14",4.45121451533135e-110,-0.523407319812527,0.664,0.795,1.61098355738872e-105,"17","RPL7A"
"RPL34.12",1.50969389265929e-109,-0.463811645617743,0.783,0.913,5.46388413631251e-105,"17","RPL34"
"PTGS2.1",1.54691426410736e-109,0.26588594520421,0.171,0.056,5.59859210465734e-105,"17","PTGS2"
"SELENOW.12",1.98030805856194e-109,0.473144036810078,0.398,0.212,7.16713092554736e-105,"17","SELENOW"
"GMFG.16",2.57817249792973e-109,-0.322900981390685,0.004,0.206,9.33092190450728e-105,"17","GMFG"
"EMP3.14",1.47469163629191e-108,-0.429196706307466,0.042,0.259,5.33720397006769e-104,"17","EMP3"
"TPPP3.16",9.20462632587678e-108,-1.1217670668905,0.032,0.24,3.33133835986132e-103,"17","TPPP3"
"GNB2L1.13",2.9341088645354e-107,-0.707572835366209,0.232,0.455,1.06191268025265e-102,"17","GNB2L1"
"RPS18.13",1.15670894147631e-106,-0.636134828738502,0.805,0.863,4.18636100099107e-102,"17","RPS18"
"UBC.9",1.16978895715664e-106,0.687229889474695,0.896,0.785,4.23370019374132e-102,"17","UBC"
"PGC.17",2.87713742928559e-105,-0.683399141597947,0.317,0.129,1.04129357840704e-100,"17","PGC"
"UBA52.13",9.15676629645703e-105,-0.397946760944651,0.555,0.741,3.31401685801373e-100,"17","UBA52"
"RPL35A.12",1.26788026135296e-103,-0.410801853560165,0.685,0.843,4.58871224188862e-99,"17","RPL35A"
"RPS5.10",4.29237001572844e-103,-0.43675887185583,0.589,0.765,1.55349455609244e-98,"17","RPS5"
"RPL15.13",4.14793127966823e-101,-0.419173323089733,0.753,0.857,1.50121928873753e-96,"17","RPL15"
"LITAF.9",4.55959528693325e-101,-0.346975364437089,0.075,0.29,1.65020872624688e-96,"17","LITAF"
"HBEGF.6",1.86133862195595e-100,0.296668183323073,0.291,0.13,6.73655674058299e-96,"17","HBEGF"
"ADI1.3",4.57138691962293e-100,0.254021082215326,0.356,0.178,1.65447635394993e-95,"17","ADI1"
"ATP5MF.1",7.34815766612958e-100,0.283656026657031,0.307,0.144,2.65944522252562e-95,"17","ATP5MF"
"LCN2.16",7.87320845615804e-100,-1.28992783704542,0.052,0.253,2.84947160445272e-95,"17","LCN2"
"ITGB1.7",1.60745825689946e-99,0.276435889148696,0.459,0.256,5.81771292337054e-95,"17","ITGB1"
"CD63.8",1.10473235692169e-98,0.390545325699075,0.82,0.665,3.99824734617098e-94,"17","CD63"
"RPS7.13",1.782934209607e-98,-0.446988329159722,0.683,0.814,6.45279549140964e-94,"17","RPS7"
